CountryInput,CountryReturn,CountryReturnShort
aruba,Aruba,Aruba
afghanistan,Afghanistan,Afghanistan
angola,Angola,Angola
anguilla,Anguilla,Anguilla
aland islands,Aland Islands,Aland Islands
albania,Albania,Albania
andorra,Andorra,Andorra
united arab emirates,United Arab Emirates,United Arab Emirates
argentina,Argentina,Argentina
armenia,Armenia,Armenia
american samoa,American Samoa,American Samoa
antarctica,Antarctica,Antarctica
french southern territories,French Southern Territories,French Southern Territories
antigua and barbuda,Antigua and Barbuda,Antigua and Barbuda
antigua,Antigua and Barbuda,Antigua and Barbuda
australia,Australia,Australia
austria,Austria,Austria
azerbaijan,Azerbaijan,Azerbaijan
burundi,Burundi,Burundi
belgium,Belgium,Belgium
benin,Benin,Benin
burkina faso,Burkina Faso,Burkina Faso
bangladesh,Bangladesh,Bangladesh
bulgaria,Bulgaria,Bulgaria
bahrain,Bahrain,Bahrain
bahamas,Bahamas,Bahamas
bosnia and herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
saint barthelemy,Saint Barthelemy,Saint Barthelemy
belarus,Belarus,Belarus
belize,Belize,Belize
bermuda,Bermuda,Bermuda
"bolivia, plurinational state of","Bolivia, Plurinational State Of",Bolivia
bolivia,"Bolivia, Plurinational State Of",Bolivia
brazil,Brazil,Brazil
barbados,Barbados,Barbados
brunei darussalam,Brunei Darussalam,Brunei Darussalam
brunei,Brunei Darussalam,Brunei Darussalam
bhutan,Bhutan,Bhutan
bouvet island,Bouvet Island,Bouvet Island
botswana,Botswana,Botswana
central african republic,Central African Republic,Central African Republic
canada,Canada,Canada
cocos (keeling) islands,Cocos (Keeling) Islands,Cocos (Keeling) Islands
switzerland,Switzerland,Switzerland
chile,Chile,Chile
china,China,China
china (p.r.c.) ,China,China
"china, people's republic of",China,China
people's republic of china,China,China
cote d'ivoire,Ivory Coast,Ivory Coast
ivory coast,Ivory Coast,Ivory Coast
cameroon,Cameroon,Cameroon
dem. republic of the congo,"Congo, The Democratic Republic Of",DRC
"congo, the democratic republic of","Congo, The Democratic Republic Of",DRC
"congo, dem. rep.","Congo, The Democratic Republic Of",DRC
the democratic republic of the congo,"Congo, The Democratic Republic Of",DRC
congo (kinshasa),"Congo, The Democratic Republic Of",DRC
zaire,"Congo, The Democratic Republic Of",DRC
congo zaire,"Congo, The Democratic Republic Of",DRC
republic of the congo,"Congo, Republic Of",Congo
"congo, rep. ","Congo, Republic Of",Congo
"congo, republic of","Congo, Republic Of",Congo
congo,"Congo, Republic Of",Congo
congo (brazzaville),"Congo, Republic Of",Congo
cook islands,Cook Islands,Cook Islands
colombia,Colombia,Colombia
comoros,Comoros,Comoros
cape verde,Cape Verde,Cape Verde
